Date,V25,X25,Z25,F26,G26,H26,J26,K26,N26,V26,F27,F28,F29,F30,F31,F32,F33,F34,F35
30-07-2025,14.918,14.923,14.923,14.915,14.905,14.895,14.87,14.842,14.736,14.494,14.225,13.519,13.418,13.536,13.641,13.73,13.773,13.771,13.788
29-07-2025,14.919,14.928,14.924,14.913,14.901,14.883,14.852,14.816,14.693,14.428,14.149,13.455,13.366,13.489,13.61,13.703,13.733,13.732,13.755
28-07-2025,14.928,14.935,14.935,14.927,14.918,14.905,14.875,14.848,14.735,14.484,14.215,13.575,13.531,13.661,13.785,13.882,13.902,13.904,13.918
25-07-2025,14.927,14.939,14.938,14.929,14.918,14.902,14.874,14.848,14.738,14.493,14.23,13.592,13.538,13.676,13.796,13.888,13.919,13.908,13.921
24-07-2025,14.932,14.944,14.949,14.939,14.931,14.913,14.89,14.863,14.754,14.504,14.231,13.577,13.518,13.654,13.785,13.879,13.905,13.903,13.917
23-07-2025,14.933,14.949,14.949,14.942,14.935,14.915,14.886,14.858,14.746,14.494,14.218,13.54,13.471,13.599,13.72,13.803,13.824,13.814,13.829
22-07-2025,14.932,14.949,14.951,14.949,14.94,14.93,14.902,14.87,14.762,14.523,14.254,13.567,13.491,13.606,13.713,13.785,13.799,13.772,13.79
21-07-2025,14.937,14.949,14.954,14.954,14.95,14.941,14.916,14.891,14.796,14.565,14.31,13.645,13.573,13.689,13.79,13.868,13.879,13.861,13.858
18-07-2025,14.933,14.946,14.954,14.956,14.96,14.95,14.93,14.912,14.83,14.616,14.378,13.732,13.639,13.734,13.821,13.888,13.896,13.872,13.875
17-07-2025,14.928,14.935,14.94,14.943,14.943,14.938,14.915,14.892,14.799,14.583,14.339,13.687,13.593,13.686,13.78,13.844,13.856,13.838,13.842
16-07-2025,14.925,14.934,14.94,14.945,14.95,14.941,14.924,14.901,14.818,14.605,14.37,13.758,13.702,13.795,13.892,13.959,13.982,13.97,13.97
15-07-2025,14.922,14.933,14.935,14.939,14.934,14.936,14.915,14.897,14.813,14.601,14.355,13.722,13.631,13.724,13.811,13.863,13.889,13.872,13.884
14-07-2025,14.924,14.933,14.937,14.941,14.943,14.942,14.921,14.894,14.794,14.565,14.304,13.597,13.493,13.575,13.667,13.723,13.75,13.729,13.736
11-07-2025,14.927,14.935,14.939,14.94,14.944,14.943,14.924,14.9,14.807,14.588,14.327,13.602,13.466,13.522,13.592,13.646,13.645,13.614,13.61
10-07-2025,14.928,14.935,14.94,14.936,14.936,14.933,14.911,14.887,14.782,14.558,14.3,13.579,13.462,13.539,13.615,13.669,13.669,13.64,13.649
09-07-2025,14.929,14.93,14.928,14.918,14.91,14.89,14.855,14.816,14.687,14.437,14.159,13.414,13.301,13.367,13.446,13.512,13.519,13.503,13.516
08-07-2025,14.926,14.93,14.928,14.923,14.914,14.894,14.862,14.822,14.696,14.45,14.175,13.419,13.304,13.358,13.423,13.477,13.485,13.465,13.474
07-07-2025,14.926,14.928,14.925,14.923,14.917,14.898,14.869,14.831,14.707,14.465,14.2,13.457,13.307,13.343,13.394,13.446,13.453,13.441,13.45
04-07-2025,14.929,14.928,14.929,14.921,14.915,14.893,14.86,14.818,14.692,14.447,14.174,13.393,13.226,13.249,13.3,13.36,13.358,13.342,13.359
03-07-2025,14.927,14.928,14.928,14.915,14.907,14.883,14.845,14.8,14.664,14.414,14.134,13.346,13.188,13.216,13.264,13.32,13.326,13.309,13.319
